,0,1,2,3,4
0,0,0,6.58,-6.07,-44.74
3,0,3,13.26,-8.8,-41.56
6,0,6,14.12,9.43,-36.93
9,0,9,1.73,10.87,-29.31
12,0,12,-4.71,9.54,-21.98
15,0,15,-5.52,12.9,-17.85
18,0,18,-15.67,10.45,-9.73
21,0,21,-20.62,6.73,-6.41
24,0,24,-17.73,2.79,-5.27
27,0,27,-16.48,3.76,-7.22
30,0,30,-13.37,6.77,-5.88
33,0,33,-15.36,9.28,-8.02
36,0,36,-13.23,8.72,-11.11
39,0,39,-8.4,7.76,-10.14
42,0,42,-7.83,13.86,-9.06
45,0,45,-14.77,16.69,-0.09
48,0,48,-20.06,18.77,-2.42
51,0,51,-18.59,16.54,-5.08
54,0,54,-12.64,24.69,-2.7
57,0,57,-15.82,32.98,-9.2
60,0,60,-20.69,31.67,-16.53
63,0,63,-24.06,28.52,-25.77
66,0,66,-26.51,25.56,-22.27
69,0,69,-30.14,22.16,-20.21
72,0,72,-35.48,20.5,-17.36
75,0,75,-36.85,17.46,-25.91
78,0,78,-44.05,20.1,-21.47
81,0,81,-51.74,11.22,-18.09
84,0,84,-45.3,3.01,-18.12
87,0,87,-41.7,8.35,-18.21
90,0,90,-46.14,12.16,-14.88
93,0,93,-46.43,11.55,-15.59
96,0,96,-47.61,11.18,-15.38
99,0,99,-41.11,12.17,-20.32
102,0,102,-44.68,15.88,-9.5
105,0,105,-42.33,17.07,-9.32
108,0,108,-41.32,17.07,-13.37
111,0,111,-39.58,16.93,-21.34
114,0,114,-40.31,19.06,-15.83
117,0,117,-33.03,13.01,-13.87
120,0,120,-28.7,10.76,-19.91
123,0,123,-24.44,9.66,-20.64
126,0,126,-24.92,9.4,-18.72
129,0,129,-23.0,6.84,-18.51
132,0,132,-21.16,6.4,-20.25
135,0,135,-14.76,-3.04,-24.45
138,0,138,-18.47,1.17,-21.54
141,0,141,-15.68,0.54,-20.8
144,0,144,-18.88,-2.38,-18.22
147,0,147,-18.39,-0.65,-21.39
150,0,150,-24.79,1.81,-15.31
153,0,153,-29.26,8.25,-17.7
156,0,156,-36.36,11.97,-18.06
159,0,159,-41.08,19.29,-31.62
162,0,162,-58.77,22.03,-21.44
165,0,165,-63.03,6.99,-11.67
168,0,168,-46.96,2.53,-23.35
171,0,171,-32.79,7.4,-29.38
174,0,174,-30.56,15.77,-25.48
177,0,177,-24.49,15.89,-26.22
180,0,180,-18.5,14.98,-31.09
183,0,183,-14.4,15.01,-33.14
186,0,186,-14.91,16.04,-31.0
189,0,189,-13.37,16.57,-31.45
192,0,192,-12.44,9.03,-33.24
195,0,195,-11.92,7.37,-33.56
198,0,198,-15.27,11.63,-31.58
201,0,201,-14.49,5.6,-34.04
204,0,204,-23.27,7.37,-30.59
207,0,207,-22.1,7.06,-33.44
210,0,210,-28.43,4.58,-32.59
213,0,213,-12.77,13.07,-39.03
216,0,216,-28.29,9.73,-33.52
219,0,219,-34.08,5.6,-34.15
222,0,222,-32.53,10.3,-35.98
225,0,225,-31.22,9.75,-41.41
228,0,228,-34.66,15.97,-39.47
231,0,231,-44.16,14.98,-37.77
234,0,234,-53.33,13.48,-40.87
237,0,237,-48.5,-0.42,-54.42
240,0,240,-52.67,-5.39,-43.4
243,0,243,-40.87,-12.42,-42.49
246,0,246,-35.04,-9.63,-42.2
249,0,249,-24.68,-14.38,-44.11
252,0,252,-23.63,-5.03,-41.43
255,0,255,-24.6,-8.82,-31.6
258,0,258,-20.06,-8.52,-27.08
261,0,261,-15.02,-6.12,-22.46
264,0,264,-17.06,0.27,-18.22
267,0,267,-16.27,4.56,-18.51
270,0,270,-14.77,2.63,-15.17
273,0,273,-15.06,6.33,-16.77
276,0,276,-14.69,5.63,-13.24
279,0,279,-17.02,7.47,-12.76
282,0,282,-17.13,7.28,-11.39
285,0,285,-17.15,6.98,-6.24
288,0,288,-20.43,11.56,-2.63
291,0,291,-20.43,14.07,-2.49
294,0,294,-23.76,20.25,-1.66
